"a_number","b_number","duration","weight","startTime","callDay","startDate"
"089-1000035","089-1000003","271","271.0","8.27","Friday","20150909"
"089-1000035","089-1000094","215","215.0","1.5","Friday","20150908"
"089-1000035","089-1000098","563","563.0","12.14","Thursday","20150921"
"089-1000035","089-1000082","90","90.0","15.5","Friday","20150925"
"089-1000035","089-1000005","102","102.0","15.55","Wednesday","20150901"
"089-1000092","089-1000090","143","143.0","9.55","Tuesday","20150916"
"089-1000092","089-1000069","204","204.0","16.47","Tuesday","20150920"
"089-1000092","089-1000020","26","26.0","1.14","Wednesday","20150929"
"089-1000092","089-1000097","75","75.0","6.14","Friday","20150917"
"089-1000092","089-1000099","563","563.0","17.13","Saturday","20150927"
"089-1000092","089-1000039","246","246.0","23.1","Tuesday","20150903"
"089-1000004","089-1000085","256","256.0","12.5","Friday","20150907"
"089-1000004","089-1000010","451","1411.0","3.2","Thursday","20150908"
"089-1000004","089-1000088","365","365.0","22.12","Friday","20150924"
"089-1000004","089-1000093","531","531.0","17.44","Thursday","20150904"
"089-1000004","089-1000010","236","236.0","6.17","Tuesday","20150917"
"089-1000004","089-1000087","83","83.0","8.11","Thursday","20150915"
"089-1000004","089-1000002","534","534.0","22.46","Friday","20150921"
"089-1000004","089-1000069","587","587.0","20.43","Sunday","20150927"
"089-1000004","089-1000080","110","110.0","14.49","Wednesday","20150906"
"089-1000004","089-1000013","126","126.0","5.5","Friday","20150906"
"089-1000055","089-1000077","20","20.0","5.29","Monday","20150910"
"089-1000055","089-1000030","262","262.0","17.5","Friday","20150910"
"089-1000055","089-1000088","191","2351.0","6.54","Wednesday","20150906"
"089-1000055","089-1000066","291","291.0","19.17","Thursday","20150922"
"089-1000055","089-1000064","307","307.0","9.34","Thursday","20150902"
"089-1000055","089-1000020","194","194.0","11.54","Friday","20150907"
"089-1000055","089-1000099","204","204.0","11.59","Monday","20150916"
"089-1000055","089-1000088","501","501.0","16.34","Monday","20150928"
"089-1000055","089-1000037","148","148.0","11.45","Wednesday","20150927"
"089-1000090","089-1000075","393","393.0","7.55","Wednesday","20150919"
"089-1000090","089-1000100","224","224.0","2.36","Thursday","20150907"
"089-1000090","089-1000047","486","486.0","8.14","Wednesday","20150904"
"089-1000090","089-1000093","480","480.0","7.56","Sunday","20150914"
"089-1000090","089-1000035","165","165.0","18.21","Wednesday","20150927"
"089-1000090","089-1000070","311","311.0","5.42","Monday","20150919"
"089-1000090","089-1000000","253","253.0","11.2","Wednesday","20150910"
"089-1000090","089-1000034","269","269.0","18.52","Monday","20150929"
"089-1000090","089-1000072","288","288.0","10.49","Wednesday","20150907"
"089-1000042","089-1000069","115","115.0","8.26","Sunday","20150928"
"089-1000042","089-1000043","506","506.0","11.46","Friday","20150910"
"089-1000042","089-1000007","111","111.0","1.49","Sunday","20150901"
"089-1000042","089-1000016","356","356.0","8.43","Wednesday","20150911"
"089-1000042","089-1000095","341","341.0","2.31","Saturday","20150903"
"089-1000042","089-1000087","489","489.0","13.36","Sunday","20150903"
"089-1000087","089-1000082","348","348.0","16.33","Saturday","20150909"
"089-1000087","089-1000067","267","2427.0","15.46","Monday","20150920"
"089-1000087","089-1000049","420","420.0","18.44","Wednesday","20150911"
"089-1000087","089-1000084","278","278.0","9.38","Sunday","20150909"
"089-1000087","089-1000040","529","529.0","14.45","Tuesday","20150916"
"089-1000087","089-1000067","532","532.0","10.49","Tuesday","20150912"
"089-1000087","089-1000068","81","1761.0","9.13","Friday","20150902"
"089-1000087","089-1000068","387","387.0","7.48","Thursday","20150910"
"089-1000087","089-1000030","443","443.0","10.47","Thursday","20150908"
"089-1000087","089-1000089","102","102.0","6.18","Sunday","20150915"
"089-1000056","089-1000043","93","93.0","13.4","Sunday","20150921"
"089-1000056","089-1000087","493","493.0","22.11","Thursday","20150930"
"089-1000056","089-1000049","149","149.0","17.49","Sunday","20150920"
"089-1000056","089-1000063","143","143.0","14.54","Thursday","20150928"
"089-1000056","089-1000006","140","140.0","3.12","Thursday","20150910"
"089-1000056","089-1000047","88","88.0","18.26","Wednesday","20150913"
"089-1000056","089-1000068","517","517.0","2.41","Saturday","20150909"
"089-1000056","089-1000056","343","703.0","8.2","Wednesday","20150905"
"089-1000049","089-1000030","313","313.0","14.1","Thursday","20150906"
"089-1000049","089-1000067","363","363.0","2.1","Thursday","20150929"
"089-1000049","089-1000054","334","1534.0","12.49","Friday","20150912"
"089-1000049","089-1000080","62","62.0","13.21","Friday","20150927"
"089-1000049","089-1000070","309","309.0","1.47","Monday","20150909"
"089-1000049","089-1000000","157","157.0","1.58","Wednesday","20150910"
"089-1000049","089-1000073","166","166.0","2.58","Saturday","20150905"
"089-1000049","089-1000054","289","289.0","8.51","Sunday","20150910"
"089-1000054","089-1000023","118","118.0","9.24","Wednesday","20150931"
"089-1000054","089-1000077","67","67.0","7.43","Saturday","20150902"
"089-1000054","089-1000010","67","787.0","17.41","Friday","20150926"
"089-1000054","089-1000071","288","288.0","3.44","Saturday","20150904"
"089-1000054","089-1000010","167","167.0","1.54","Wednesday","20150930"
"089-1000054","089-1000025","299","299.0","19.27","Sunday","20150928"
"089-1000054","089-1000091","164","164.0","18.24","Friday","20150931"
"089-1000054","089-1000032","321","321.0","19.59","Saturday","20150912"
"089-1000054","089-1000084","259","259.0","15.21","Monday","20150909"
"089-1000054","089-1000021","458","458.0","0.23","Thursday","20150901"
"089-1000054","089-1000055","590","590.0","15.44","Sunday","20150925"
"089-1000054","089-1000066","22","22.0","23.19","Monday","20150905"
"089-1000054","089-1000009","303","303.0","15.42","Thursday","20150907"
"089-1000054","089-1000095","422","422.0","12.32","Monday","20150921"
"089-1000099","089-1000007","583","583.0","4.45","Tuesday","20150926"
"089-1000099","089-1000048","150","150.0","4.27","Saturday","20150927"
"089-1000099","089-1000042","385","385.0","2.12","Monday","20150925"
"089-1000099","089-1000015","131","131.0","17.59","Monday","20150906"
"089-1000099","089-1000029","70","70.0","22.53","Saturday","20150918"
"089-1000003","089-1000068","204","204.0","9.38","Wednesday","20150911"
"089-1000003","089-1000099","377","377.0","0.48","Wednesday","20150925"
"089-1000003","089-1000008","554","554.0","15.18","Sunday","20150925"
"089-1000003","089-1000100","278","278.0","14.17","Saturday","20150918"
"089-1000003","089-1000036","500","500.0","3.27","Monday","20150905"
"089-1000003","089-1000060","373","373.0","13.2","Friday","20150909"
"089-1000003","089-1000081","45","1005.0","6.2","Tuesday","20150912"
"089-1000003","089-1000081","189","189.0","7.4","Friday","20150918"
"089-1000003","089-1000084","430","430.0","14.42","Friday","20150911"
"089-1000003","089-1000038","585","585.0","14.23","Monday","20150930"
"089-1000003","089-1000079","283","283.0","21.5","Wednesday","20150922"
"089-1000003","089-1000026","180","180.0","16.13","Tuesday","20150901"
"089-1000003","089-1000053","275","275.0","1.32","Wednesday","20150921"
"089-1000003","089-1000052","218","218.0","20.55","Monday","20150917"
"089-1000095","089-1000066","248","1928.0","3.55","Friday","20150926"
"089-1000095","089-1000073","210","930.0","18.15","Wednesday","20150917"
"089-1000095","089-1000000","229","229.0","12.51","Saturday","20150930"
"089-1000095","089-1000035","293","293.0","13.54","Wednesday","20150915"
"089-1000095","089-1000092","297","1497.0","19.37","Monday","20150918"
"089-1000095","089-1000083","392","392.0","7.41","Thursday","20150926"
"089-1000095","089-1000012","283","283.0","23.16","Friday","20150914"
"089-1000095","089-1000071","503","503.0","11.42","Monday","20150920"
"089-1000095","089-1000092","297","297.0","18.26","Saturday","20150931"
"089-1000095","089-1000010","24","24.0","1.31","Tuesday","20150916"
"089-1000095","089-1000054","172","172.0","5.22","Thursday","20150907"
"089-1000095","089-1000018","188","188.0","8.25","Wednesday","20150907"
"089-1000095","089-1000053","300","300.0","21.28","Saturday","20150908"
"089-1000095","089-1000073","128","128.0","20.36","Sunday","20150910"
"089-1000095","089-1000096","105","105.0","19.33","Tuesday","20150928"
"089-1000095","089-1000066","389","389.0","8.24","Thursday","20150921"
"089-1000073","089-1000003","365","365.0","0.1","Sunday","20150917"
"089-1000073","089-1000056","346","346.0","1.47","Saturday","20150927"
"089-1000073","089-1000070","177","177.0","2.1","Wednesday","20150907"
"089-1000073","089-1000048","590","590.0","12.12","Monday","20150922"
"089-1000073","089-1000007","244","1204.0","17.52","Sunday","20150908"
"089-1000073","089-1000047","590","590.0","23.24","Friday","20150911"
"089-1000073","089-1000019","129","129.0","5.24","Thursday","20150925"
"089-1000073","089-1000007","53","53.0","3.25","Thursday","20150920"
"089-1000073","089-1000025","220","220.0","14.56","Saturday","20150924"
"089-1000073","089-1000007","168","168.0","11.3","Thursday","20150917"
"089-1000081","089-1000004","94","94.0","2.51","Saturday","20150910"
"089-1000081","089-1000054","151","151.0","15.47","Thursday","20150916"
"089-1000081","089-1000055","453","453.0","11.5","Monday","20150920"
"089-1000081","089-1000014","506","506.0","20.19","Saturday","20150901"
"089-1000081","089-1000053","294","294.0","13.24","Wednesday","20150931"
"089-1000081","089-1000075","464","464.0","19.13","Friday","20150910"
"089-1000081","089-1000034","353","353.0","7.37","Tuesday","20150902"
"089-1000081","089-1000088","389","389.0","22.44","Tuesday","20150904"
"089-1000081","089-1000062","531","531.0","20.41","Sunday","20150910"
"089-1000081","089-1000008","198","198.0","11.14","Thursday","20150906"
"089-1000081","089-1000026","272","272.0","17.28","Friday","20150910"
"089-1000008","089-1000070","31","31.0","8.2","Wednesday","20150923"
"089-1000008","089-1000086","463","463.0","0.19","Thursday","20150929"
"089-1000008","089-1000069","447","447.0","22.38","Sunday","20150910"
"089-1000008","089-1000051","111","111.0","1.45","Wednesday","20150908"
"089-1000008","089-1000071","100","100.0","11.19","Friday","20150904"
"089-1000008","089-1000034","473","473.0","14.37","Tuesday","20150917"
"089-1000008","089-1000067","254","254.0","23.13","Tuesday","20150924"
"089-1000008","089-1000057","568","568.0","23.59","Sunday","20150908"
"089-1000008","089-1000001","398","398.0","2.59","Thursday","20150922"
"089-1000048","089-1000096","502","1702.0","3.58","Monday","20150925"
"089-1000048","089-1000096","275","275.0","5.14","Tuesday","20150910"
"089-1000048","089-1000087","273","273.0","22.27","Thursday","20150902"
"089-1000048","089-1000066","77","77.0","9.25","Sunday","20150928"
"089-1000048","089-1000091","420","420.0","17.59","Sunday","20150923"
"089-1000048","089-1000033","86","86.0","15.42","Monday","20150905"
"089-1000048","089-1000022","556","556.0","10.2","Monday","20150923"
"089-1000048","089-1000084","597","597.0","10.35","Thursday","20150902"
"089-1000048","089-1000060","398","398.0","19.45","Wednesday","20150930"
"089-1000048","089-1000051","432","432.0","11.1","Saturday","20150908"
"089-1000048","089-1000078","282","282.0","10.24","Wednesday","20150917"
"089-1000048","089-1000089","259","259.0","22.39","Tuesday","20150909"
"089-1000048","089-1000053","341","341.0","15.12","Friday","20150926"
"089-1000052","089-1000095","80","80.0","15.31","Friday","20150922"
"089-1000052","089-1000044","150","150.0","9.13","Thursday","20150905"
"089-1000052","089-1000055","165","165.0","14.25","Sunday","20150923"
"089-1000052","089-1000037","484","484.0","7.39","Friday","20150923"
"089-1000052","089-1000007","327","327.0","5.23","Tuesday","20150909"
"089-1000052","089-1000061","544","544.0","9.31","Thursday","20150901"
"089-1000052","089-1000006","308","308.0","10.37","Monday","20150912"
"089-1000052","089-1000065","474","474.0","15.57","Monday","20150901"
"089-1000052","089-1000020","17","17.0","6.31","Thursday","20150922"
"089-1000052","089-1000077","277","277.0","9.59","Sunday","20150923"
"089-1000052","089-1000021","527","527.0","3.12","Saturday","20150910"
"089-1000052","089-1000099","561","561.0","20.22","Sunday","20150920"
"089-1000052","089-1000004","508","508.0","21.14","Thursday","20150912"
"089-1000052","089-1000081","69","69.0","3.44","Saturday","20150922"
"089-1000091","089-1000044","427","427.0","0.19","Monday","20150924"
"089-1000091","089-1000009","42","42.0","4.23","Tuesday","20150930"
"089-1000091","089-1000100","205","205.0","5.38","Sunday","20150916"
"089-1000091","089-1000065","22","22.0","23.32","Wednesday","20150920"
"089-1000091","089-1000076","83","83.0","0.3","Tuesday","20150913"
"089-1000091","089-1000072","389","389.0","8.12","Sunday","20150902"
"089-1000091","089-1000023","116","116.0","13.45","Friday","20150907"
"089-1000091","089-1000027","19","19.0","14.5","Saturday","20150922"
"089-1000091","089-1000089","191","191.0","12.47","Sunday","20150924"
"089-1000091","089-1000050","571","571.0","17.57","Wednesday","20150901"
"089-1000091","089-1000002","472","472.0","4.13","Thursday","20150909"
"089-1000091","089-1000069","21","21.0","19.17","Sunday","20150916"
"089-1000077","089-1000081","262","262.0","15.58","Sunday","20150905"
"089-1000077","089-1000094","220","220.0","13.3","Tuesday","20150924"
"089-1000077","089-1000065","520","520.0","13.54","Saturday","20150918"
"089-1000077","089-1000031","211","211.0","21.2","Monday","20150909"
"089-1000077","089-1000092","136","136.0","23.43","Wednesday","20150906"
"089-1000077","089-1000080","415","415.0","14.23","Thursday","20150924"
"089-1000077","089-1000009","484","484.0","13.22","Saturday","20150908"
"089-1000077","089-1000035","431","431.0","3.11","Saturday","20150915"
"089-1000009","089-1000069","219","219.0","13.13","Sunday","20150904"
"089-1000009","089-1000052","369","369.0","5.42","Friday","20150910"
"089-1000009","089-1000077","358","358.0","17.33","Thursday","20150908"
"089-1000009","089-1000061","596","596.0","11.18","Friday","20150911"
"089-1000009","089-1000068","477","477.0","2.35","Tuesday","20150921"
"089-1000009","089-1000039","504","504.0","13.33","Sunday","20150913"
"089-1000009","089-1000095","122","1322.0","11.39","Wednesday","20150911"
"089-1000009","089-1000082","96","96.0","9.4","Saturday","20150921"
"089-1000009","089-1000021","165","165.0","19.56","Saturday","20150909"
"089-1000009","089-1000095","293","293.0","17.59","Saturday","20150928"
"089-1000009","089-1000048","138","138.0","21.14","Thursday","20150901"
"089-1000027","089-1000050","314","314.0","9.31","Wednesday","20150922"
"089-1000027","089-1000047","85","2245.0","23.4","Monday","20150920"
"089-1000027","089-1000085","473","473.0","15.32","Sunday","20150905"
"089-1000027","089-1000070","427","427.0","3.46","Monday","20150912"
"089-1000027","089-1000026","575","575.0","8.37","Tuesday","20150917"
"089-1000027","089-1000013","542","542.0","3.51","Friday","20150912"
"089-1000027","089-1000058","537","537.0","8.42","Monday","20150905"
"089-1000027","089-1000047","534","534.0","4.29","Saturday","20150929"
"089-1000027","089-1000002","49","49.0","18.31","Thursday","20150909"
"089-1000027","089-1000091","139","139.0","4.34","Saturday","20150931"
"089-1000012","089-1000017","300","300.0","1.27","Friday","20150931"
"089-1000012","089-1000099","404","404.0","12.51","Friday","20150922"
"089-1000012","089-1000022","228","228.0","21.46","Friday","20150927"
"089-1000012","089-1000019","559","559.0","12.4","Friday","20150920"
"089-1000012","089-1000097","415","415.0","5.5","Sunday","20150921"
"089-1000012","089-1000071","450","450.0","0.38","Sunday","20150901"
"089-1000012","089-1000032","287","287.0","0.32","Tuesday","20150908"
"089-1000012","089-1000043","187","187.0","7.31","Monday","20150911"
"089-1000012","089-1000011","439","439.0","22.33","Monday","20150908"
"089-1000012","089-1000066","191","191.0","3.36","Wednesday","20150918"
"089-1000012","089-1000050","399","399.0","14.44","Friday","20150919"
"089-1000066","089-1000082","143","143.0","14.25","Monday","20150926"
"089-1000066","089-1000093","254","734.0","16.38","Wednesday","20150915"
"089-1000066","089-1000055","278","278.0","2.23","Sunday","20150927"
"089-1000066","089-1000056","59","1739.0","18.2","Thursday","20150930"
"089-1000066","089-1000093","103","103.0","7.25","Tuesday","20150914"
"089-1000066","089-1000056","400","400.0","20.46","Wednesday","20150908"
"089-1000066","089-1000015","320","320.0","16.53","Saturday","20150925"
"089-1000066","089-1000058","298","298.0","23.59","Monday","20150909"
"089-1000066","089-1000060","562","562.0","3.36","Saturday","20150930"
"089-1000066","089-1000030","63","63.0","9.41","Friday","20150915"
"089-1000066","089-1000005","574","574.0","16.49","Saturday","20150909"
"089-1000066","089-1000006","157","157.0","19.28","Tuesday","20150927"
"089-1000066","089-1000074","391","391.0","8.3","Wednesday","20150916"
"089-1000043","089-1000005","70","70.0","6.16","Thursday","20150907"
"089-1000043","089-1000073","47","47.0","20.49","Friday","20150928"
"089-1000043","089-1000040","384","384.0","14.39","Monday","20150925"
"089-1000043","089-1000002","336","336.0","13.51","Wednesday","20150925"
"089-1000043","089-1000012","466","466.0","23.58","Friday","20150910"
"089-1000043","089-1000044","141","141.0","15.19","Monday","20150929"
"089-1000043","089-1000097","443","443.0","1.24","Wednesday","20150931"
"089-1000043","089-1000014","17","17.0","14.25","Wednesday","20150920"
"089-1000043","089-1000075","277","277.0","10.21","Monday","20150910"
"089-1000043","089-1000071","64","64.0","21.55","Monday","20150924"
"089-1000043","089-1000091","348","348.0","18.49","Monday","20150917"
"089-1000063","089-1000060","362","362.0","11.54","Sunday","20150918"
"089-1000063","089-1000039","514","514.0","7.47","Monday","20150919"
"089-1000063","089-1000030","414","414.0","11.24","Wednesday","20150915"
"089-1000063","089-1000097","280","280.0","20.43","Thursday","20150918"
"089-1000063","089-1000062","194","194.0","21.41","Monday","20150921"
"089-1000063","089-1000100","330","330.0","6.32","Saturday","20150920"
"089-1000063","089-1000043","69","69.0","0.27","Friday","20150915"
"089-1000063","089-1000089","251","251.0","19.12","Tuesday","20150919"
"089-1000063","089-1000004","14","14.0","23.24","Wednesday","20150923"
"089-1000063","089-1000051","382","382.0","6.32","Saturday","20150929"
"089-1000021","089-1000051","169","4969.0","13.52","Saturday","20150905"
"089-1000021","089-1000051","582","582.0","4.29","Wednesday","20150914"
"089-1000021","089-1000040","184","184.0","1.15","Thursday","20150902"
"089-1000021","089-1000050","123","123.0","18.29","Monday","20150929"
"089-1000021","089-1000020","411","411.0","1.25","Thursday","20150929"
"089-1000021","089-1000053","428","428.0","17.32","Thursday","20150910"
"089-1000021","089-1000086","409","409.0","7.53","Saturday","20150918"
"089-1000021","089-1000051","556","556.0","22.36","Monday","20150914"
"089-1000021","089-1000045","258","258.0","21.3","Tuesday","20150916"
"089-1000021","089-1000039","420","420.0","0.28","Wednesday","20150926"
"089-1000021","089-1000091","358","358.0","23.36","Monday","20150917"
"089-1000007","089-1000049","409","409.0","14.41","Thursday","20150903"
"089-1000007","089-1000084","565","565.0","9.36","Friday","20150909"
"089-1000007","089-1000087","433","433.0","0.11","Tuesday","20150915"
"089-1000007","089-1000028","588","588.0","4.13","Monday","20150926"
"089-1000007","089-1000000","374","374.0","18.29","Thursday","20150902"
"089-1000007","089-1000037","469","469.0","1.41","Saturday","20150918"
"089-1000007","089-1000042","481","481.0","10.44","Tuesday","20150913"
"089-1000007","089-1000035","148","148.0","3.46","Monday","20150930"
"089-1000007","089-1000005","182","182.0","3.51","Wednesday","20150928"
"089-1000005","089-1000029","248","248.0","22.36","Sunday","20150910"
"089-1000005","089-1000095","224","224.0","6.49","Thursday","20150931"
"089-1000005","089-1000019","182","182.0","0.21","Saturday","20150920"
"089-1000005","089-1000072","217","217.0","23.34","Tuesday","20150908"
"089-1000005","089-1000048","445","445.0","13.54","Thursday","20150923"
"089-1000005","089-1000069","448","448.0","7.13","Wednesday","20150918"
"089-1000005","089-1000080","316","316.0","10.48","Thursday","20150905"
"089-1000005","089-1000075","446","446.0","3.39","Thursday","20150906"
"089-1000005","089-1000077","458","458.0","2.4","Friday","20150915"
"089-1000005","089-1000055","279","279.0","19.37","Sunday","20150914"
"089-1000005","089-1000066","555","555.0","16.13","Thursday","20150912"
"089-1000093","089-1000055","506","506.0","17.51","Wednesday","20150907"
"089-1000093","089-1000025","214","214.0","0.26","Tuesday","20150919"
"089-1000093","089-1000067","435","2355.0","16.55","Saturday","20150910"
"089-1000093","089-1000059","14","14.0","13.21","Saturday","20150906"
"089-1000093","089-1000066","176","176.0","2.13","Thursday","20150905"
"089-1000093","089-1000047","162","162.0","20.32","Saturday","20150927"
"089-1000093","089-1000060","239","239.0","10.12","Thursday","20150911"
"089-1000093","089-1000030","398","398.0","10.15","Sunday","20150904"
"089-1000093","089-1000038","591","591.0","6.45","Friday","20150916"
"089-1000093","089-1000040","561","561.0","11.14","Tuesday","20150919"
"089-1000093","089-1000067","465","465.0","6.21","Thursday","20150901"
"089-1000093","089-1000057","55","55.0","14.3","Thursday","20150904"
"089-1000057","089-1000060","300","300.0","13.21","Thursday","20150922"
"089-1000057","089-1000073","185","185.0","2.23","Wednesday","20150903"
"089-1000057","089-1000080","106","106.0","19.47","Tuesday","20150924"
"089-1000057","089-1000087","512","512.0","18.18","Sunday","20150909"
"089-1000057","089-1000082","588","588.0","17.47","Friday","20150916"
"089-1000057","089-1000090","334","334.0","20.35","Friday","20150925"
"089-1000057","089-1000085","35","35.0","3.44","Sunday","20150905"
"089-1000057","089-1000052","228","228.0","6.45","Monday","20150920"
"089-1000057","089-1000051","221","221.0","15.19","Saturday","20150930"
"089-1000019","089-1000025","187","187.0","2.44","Sunday","20150921"
"089-1000019","089-1000075","565","565.0","11.51","Monday","20150919"
"089-1000019","089-1000079","309","309.0","22.27","Sunday","20150926"
"089-1000019","089-1000027","217","217.0","20.33","Wednesday","20150921"
"089-1000019","089-1000080","487","487.0","1.23","Friday","20150912"
"089-1000019","089-1000068","554","554.0","15.58","Monday","20150930"
"089-1000019","089-1000061","537","537.0","4.15","Wednesday","20150903"
"089-1000019","089-1000082","96","96.0","21.53","Saturday","20150911"
"089-1000019","089-1000028","178","178.0","9.42","Wednesday","20150901"
"089-1000061","089-1000073","499","499.0","1.35","Saturday","20150925"
"089-1000061","089-1000001","296","296.0","15.12","Wednesday","20150927"
"089-1000061","089-1000089","181","181.0","14.44","Friday","20150902"
"089-1000061","089-1000050","593","593.0","21.41","Thursday","20150902"
"089-1000061","089-1000091","18","18.0","15.55","Wednesday","20150906"
"089-1000061","089-1000042","528","528.0","16.48","Thursday","20150904"
"089-1000061","089-1000058","19","19.0","22.43","Wednesday","20150908"
"089-1000061","089-1000052","183","183.0","21.53","Friday","20150906"
"089-1000061","089-1000071","562","562.0","14.42","Sunday","20150916"
"089-1000069","089-1000034","28","28.0","9.19","Monday","20150923"
"089-1000069","089-1000056","383","383.0","13.24","Saturday","20150910"
"089-1000069","089-1000081","515","515.0","19.24","Saturday","20150909"
"089-1000069","089-1000020","22","22.0","2.13","Wednesday","20150918"
"089-1000069","089-1000063","108","108.0","2.46","Sunday","20150911"
"089-1000069","089-1000054","550","550.0","18.41","Sunday","20150910"
"089-1000069","089-1000051","579","579.0","6.47","Wednesday","20150905"
"089-1000069","089-1000037","167","167.0","9.45","Wednesday","20150901"
"089-1000069","089-1000009","561","561.0","8.18","Tuesday","20150910"
"089-1000078","089-1000098","321","321.0","4.16","Sunday","20150929"
"089-1000078","089-1000091","598","598.0","9.45","Thursday","20150918"
"089-1000078","089-1000100","52","52.0","10.17","Thursday","20150905"
"089-1000078","089-1000051","422","422.0","12.32","Sunday","20150929"
"089-1000078","089-1000005","581","581.0","7.59","Monday","20150905"
"089-1000078","089-1000008","446","926.0","1.38","Saturday","20150923"
"089-1000078","089-1000008","101","101.0","11.3","Wednesday","20150917"
"089-1000078","089-1000066","154","154.0","20.32","Saturday","20150925"
"089-1000078","089-1000039","13","13.0","4.16","Monday","20150908"
"089-1000072","089-1000044","91","91.0","12.45","Saturday","20150903"
"089-1000072","089-1000050","309","309.0","2.34","Thursday","20150922"
"089-1000072","089-1000096","267","267.0","19.15","Wednesday","20150902"
"089-1000072","089-1000038","87","1287.0","2.25","Tuesday","20150927"
"089-1000072","089-1000038","274","274.0","5.3","Tuesday","20150922"
"089-1000072","089-1000011","478","478.0","13.42","Thursday","20150921"
"089-1000072","089-1000082","325","325.0","9.53","Wednesday","20150902"
"089-1000046","089-1000034","549","549.0","19.54","Wednesday","20150908"
"089-1000046","089-1000046","539","1079.0","8.24","Monday","20150925"
"089-1000046","089-1000043","118","118.0","21.57","Thursday","20150931"
"089-1000046","089-1000066","296","296.0","9.28","Monday","20150906"
"089-1000046","089-1000012","553","553.0","22.3","Tuesday","20150921"
"089-1000067","089-1000072","443","443.0","1.49","Monday","20150924"
"089-1000067","089-1000093","79","79.0","19.45","Friday","20150918"
"089-1000067","089-1000041","46","46.0","20.3","Thursday","20150929"
"089-1000067","089-1000000","392","392.0","16.41","Wednesday","20150918"
"089-1000067","089-1000023","465","465.0","2.49","Friday","20150919"
"089-1000002","089-1000044","194","194.0","15.31","Monday","20150922"
"089-1000002","089-1000078","409","409.0","17.15","Tuesday","20150931"
"089-1000002","089-1000008","208","208.0","0.42","Saturday","20150931"
"089-1000002","089-1000039","599","599.0","9.5","Saturday","20150920"
"089-1000002","089-1000022","279","279.0","13.58","Friday","20150929"
"089-1000002","089-1000086","123","363.0","2.29","Thursday","20150930"
"089-1000002","089-1000086","26","26.0","11.48","Tuesday","20150910"
"089-1000002","089-1000051","318","318.0","2.21","Saturday","20150902"
"089-1000002","089-1000093","346","346.0","19.24","Friday","20150928"
"089-1000002","089-1000049","200","200.0","23.56","Sunday","20150927"
"089-1000002","089-1000092","182","182.0","13.17","Wednesday","20150921"
"089-1000064","089-1000028","161","161.0","1.26","Wednesday","20150918"
"089-1000064","089-1000092","452","452.0","12.2","Friday","20150931"
"089-1000064","089-1000072","61","61.0","3.16","Thursday","20150907"
"089-1000064","089-1000025","444","444.0","17.45","Friday","20150905"
"089-1000064","089-1000097","430","430.0","12.39","Tuesday","20150927"
"089-1000064","089-1000041","479","479.0","17.17","Sunday","20150921"
"089-1000064","089-1000065","581","581.0","19.29","Monday","20150910"
"089-1000064","089-1000062","348","588.0","7.46","Monday","20150915"
"089-1000064","089-1000091","121","121.0","14.57","Monday","20150907"
"089-1000064","089-1000006","588","588.0","19.52","Tuesday","20150930"
"089-1000064","089-1000067","423","423.0","22.28","Sunday","20150912"
"089-1000064","089-1000026","157","157.0","3.41","Wednesday","20150903"
"089-1000064","089-1000087","472","472.0","11.28","Wednesday","20150909"
"089-1000064","089-1000098","22","22.0","0.37","Thursday","20150911"
"089-1000064","089-1000062","10","10.0","0.36","Saturday","20150922"
"089-1000029","089-1000099","311","311.0","4.57","Wednesday","20150930"
"089-1000029","089-1000002","304","304.0","8.46","Tuesday","20150922"
"089-1000029","089-1000075","333","333.0","8.56","Tuesday","20150926"
"089-1000029","089-1000026","448","448.0","17.13","Tuesday","20150916"
"089-1000029","089-1000015","388","388.0","7.25","Friday","20150919"
"089-1000029","089-1000071","151","151.0","18.56","Friday","20150917"
"089-1000098","089-1000019","359","359.0","23.23","Sunday","20150927"
"089-1000098","089-1000010","544","544.0","12.14","Wednesday","20150909"
"089-1000098","089-1000008","433","2833.0","1.32","Sunday","20150906"
"089-1000098","089-1000002","479","479.0","3.21","Tuesday","20150901"
"089-1000098","089-1000035","56","56.0","10.21","Friday","20150921"
"089-1000098","089-1000005","234","234.0","19.22","Monday","20150910"
"089-1000098","089-1000043","583","583.0","1.39","Tuesday","20150909"
"089-1000098","089-1000008","592","592.0","8.17","Thursday","20150908"
"089-1000098","089-1000054","459","459.0","2.25","Monday","20150901"
"089-1000098","089-1000027","333","333.0","5.15","Thursday","20150923"
"089-1000098","089-1000066","228","228.0","12.39","Monday","20150917"
"089-1000040","089-1000045","267","267.0","16.17","Tuesday","20150920"
"089-1000040","089-1000021","154","154.0","0.3","Saturday","20150915"
"089-1000040","089-1000064","179","179.0","3.41","Tuesday","20150911"
"089-1000040","089-1000037","274","274.0","3.2","Saturday","20150931"
"089-1000040","089-1000027","167","167.0","5.15","Monday","20150903"
"089-1000040","089-1000006","260","260.0","16.14","Saturday","20150912"
"089-1000040","089-1000017","149","149.0","8.39","Monday","20150921"
"089-1000040","089-1000062","199","199.0","11.45","Sunday","20150927"
"089-1000040","089-1000061","372","372.0","11.57","Thursday","20150919"
"089-1000001","089-1000029","92","92.0","5.43","Sunday","20150917"
"089-1000001","089-1000023","143","143.0","13.43","Thursday","20150910"
